Date 	City 	State 	Shape 	Duration 	Summary 	Posted
7/31/16 23:00 	Greendale 	WI 	Light 	15 minutes 	10 white lights seen in SE Wisconsin at high altitude, heading from S to N. Several objects split off. Retired Army and wife BSN. 	8/2/16
7/31/16 23:00 	Gold Hill 	OR 	Other 	2 minutes 	I saw an orange orb and as it glided by it appeared to be a pillar with orange at each end. ((anonymous report)) 	8/2/16
7/31/16 22:00 	Springfield 	OR 	Circle 	5 minutes 	Two blue circular glowing flying objects were flying near each other then went in to different directions. ((anonymous report)) 	8/2/16
7/31/16 22:00 	Sun Prarie 	WI 	Light 	10 minutes 	One previously stationary silent light...we thought was a star began to follow a plane. It looked as if the plane noticed this light ci 	8/4/16
7/31/16 20:45 	Pittsburgh 	PA 	Circle 	10 minutes 	Three black objects seen in early evening sky 	8/2/16
7/31/16 20:30 	Winnemucca 	NV 	Light 	20 minutes 	Four unexplained bright white lights appeared in the sky tonight over Winnemucca, Nevada. 	8/2/16
7/31/16 20:00 	Phoenix 	AZ 	Rectangle 	2 seconds 	Looks like square lightning. ((NUFORC Note: Looks like a normal lightning bolt to us. PD)) 	8/16/16
7/31/16 17:30 	Somerville 	MA 	Unknown 	5 minutes 	Unidentified object hovering in Somerville, MA. 	8/4/16
7/31/16 16:20 	Franklinville 	NJ 	Rectangle 	10 seconds 	Daytime sighting of white rectangle shaped object flying in clouds highly reflective surface. 	8/2/16
7/31/16 16:00 	Sherwood 	OR 	Disk 	3 hours 	Disc. 	8/16/16
7/31/16 15:30 	Germantown 	MD 	Triangle 	5-7 minutes 	Black hovering triangle in Germantown, MD 	8/2/16
7/31/16 15:00 	Fort Wayne 	IN 	Disk 	~2 seconds 	Cream-colored saucer photographed over Fort Wayne, Indiana. 	8/2/16
7/31/16 14:30 	Canby 	OR 	Disk 	120 minutes 	We saw a round shape disk that looked like a parachute. Stayed in the same sky about 1-2 hours 	8/2/16
7/31/16 09:00 	Fayetteville 	NC 	Circle 	10 minutes 	Orange yellow orb seen floating over clouds, slowly moving up and down. ((NUFORC Note: Twinkling star? PD)) 	8/2/16
7/31/16 01:30 	Lyons 	CO 	Cross 	5 minutes 	Strange crafts with strange sound moving slowly towards Denver, CO. 	8/2/16
7/30/16 23:45 	Angola 	IN 	Circle 	30 minutes 	It was no crafts from this world. 	8/16/16
7/30/16 23:20 	Marlinton 	WV 	Light 	10 minutes 	((HOAX??))Saw about 20 to 30 lights flashing in sky. Moving north. No sound. Look like small drones. 	8/2/16
7/30/16 23:20 	Marlinton 	WV 	Circle 	10 minutes 	Saw 20-30 objects fly over no sound. Light all around then and in them. Not to big. Not in no.line. look like orbits. Not moving. 	8/16/16
7/30/16 23:15 	Foristell 	MO 	Light 	unknown 	Star-looking object that moved unnaturally with different colored lights. ((NUFORC Note: Twinkling star? PD)) 	8/2/16
7/30/16 23:00 	Watkins 	MN 	Chevron 	10 seconds 	Event happened around 11 at night. We were watching the night sky, when my wife and I saw a V shaped formation moving north to South. 	8/2/16
7/30/16 22:50 	Roseburg 	OR 	Fireball 	.5 second 	I went outside for a smoke and when i looked up to the east i saw what appeared to be either a meteor breaking thru the atmosphere but 	8/2/16
7/30/16 22:45 	St. Germain 	WI 	Triangle 	3 seconds 	Two fast moving triangular shaped objects. 	8/2/16
7/30/16 22:45 	Lancaster 	NY 	Triangle 	5 minutes 	Four triangular orange fire balls in the sky 	8/2/16
7/30/16 22:30 	St. Germain 	WI 	Triangle 	4 seconds 	2 diamond shape objects streak across the sky in a perfect line. 	8/2/16
7/30/16 22:23 	Gastonia 	NC 	Sphere 	2 minutes 	4 objects rose up in the sky slowly all together and 5th object rose fast to the other 4 then slowly all went up. ((anonymous report)) 	8/2/16
7/30/16 22:15 	College Station 	TX 	Fireball 	5 seconds 	Green fireball shoots across sky before disappearing. 	8/4/16
7/30/16 22:15 	Corpus Christi 	TX 	Light 	3 seconds 	Appeared in the sky and descended straight down kind of slow, was too big to be an a/c; no sound. ((anonymous report)) 	8/2/16
7/30/16 21:45 	Bristol 	TN 	Sphere 	5 minutes 	A large red orb, moving S to E at low speed in atmosphere, the at hyper speed; disappeared at 150*. ((anonymous report)) 	8/2/16
7/30/16 21:45 	New Orleans 	LA 	Light 	4 minutes 	Saw approximately 15 orange lights in a line, spaced out 10,15 seconds apart fly up from across the Mississippi river. Too slow to be p 	8/2/16
7/30/16 21:39 	Lawrence 	MA 	Fireball 	30 seconds 	T-shaped fork completely covered in fire. Kept flying at same level 	8/2/16
7/30/16 21:20 	Norwalk 	CA 	Fireball 	20 seconds 	Saw a orangish red light in the sky , thought maybe it was a helicopter or airplane that seemed to be coming in my direction , but then 	8/2/16
7/30/16 21:15 	Deer Park 	NY 	Light 	15 minutes 	Over 20 red lights in a long zig zag row over Deer Park, NY forming a zig zag pattern headed east to west / west to east. 	8/2/16
7/30/16 20:00 	Veduawoo 	WY 	Sphere 	20+ 	Clear, white spherical shape, reflected sunlight. Ascended toward outer atmosphere. ((anonymous report)) 	8/4/16
7/30/16 19:30 	Toledo 	OH 	Sphere 	12 seconds 	Swarm of jet-black spheres near Lake Erie darting around in broad daylight. 	8/2/16
7/30/16 19:16 	South Africa 	Light 	10 minutes 	me and my brother was sitting ouside looking at stars when we noticed two stars moving at first we thought we were seeing things but th 	8/2/16
7/30/16 10:53 	Eugene 	OR 	Cone 	5 seconds 	Green light comes falling down. 	8/2/16
7/30/16 10:30 	Ten Mile 	TN 	Light 	Minutes 	Seen 2 light ball shape UFO dancing in circular motion and one disapeared and other went in different direction.two more light ball for 	8/2/16
7/30/16 03:10 	Haleiwa 	HI 	Circle 	10 minutes 	Green Glowing object shot off at very fast speed 	8/2/16
7/29/16 22:35 	Reardan 	WA 	Triangle 	2 seconds 	Large bright golden triangle moving rapidly from west to east near zenith then suddenly vanishes. ((anonymous report)) 	8/2/16
7/29/16 22:20 	Bainbridge Island 	WA 	Triangle 	4 minutes 	Triangle shape object with lights flew at very high speed across sky and stopped to descend 	8/2/16
7/29/16 22:00 	Terre Haute 	IN 	Formation 	4 minutes 	Driving down 25th St. Hovering above a funeral home two formations of lights looked triangular with a aura like glow I pulled off the 	8/2/16
7/29/16 22:00 	Davenport 	FL 	Circle 	1-2 minutes 	Bright orange/yellow sphere hovering over home in Davenport, FL. ((anonymous report)) 	8/2/16
7/29/16 21:49 	Riverside 	CA 	Light 	10 	Pair of white light balls rapidly fade in and out, over Riverside City, Southern California. 	8/2/16
7/29/16 21:40 	Clarence Center 	NY 	Light 	5 minutes 	2 bright orange lights moving north/south and stationary in western sky. ((anonymous report)) 	8/4/16
7/29/16 21:15 	Roseburg 	OR 	Light 	15 minutes 	Starting at 21:15 hours a light coming from the SW heading NE about 15 thousand feet high.There were no blinking lights or strobes like 	8/2/16
7/29/16 21:00 	Muskego 	WI 	Circle 	2 minutes 	It was really dark and all of a sudden we look up at the sky and there is this circular objects slowly going closer to the ground (didn 	8/2/16
7/29/16 16:53 	Charlotte 	NC 	Triangle 	25 seconds 	Triangle Shape In Downtown Charlotte. ((NUFORC Note: Lens flare, from photographing a bright reflection. PD)) 	8/4/16
7/29/16 15:30 	Galt 	CA 	Circle 	1 hour+ 	Balloon type object but seemed to be moving very slowly...wind a ground level est 4-6 knots w to e. 	8/2/16
7/29/16 12:00 	Asheville 	NC 	Sphere 	Not sure 	What was thought to be glare from the Sun turns out to be Strange Orb on Indian Land. 	8/2/16
7/29/16 09:15 	Mohawk 	NY 	Circle 	90 seconds 	Orange circle shaped light hovered and then moved across sky 	8/2/16
7/29/16 02:30 	Grants Pass 	OR 	Triangle 	1 hour 	Hovering craft with lights at each end. 	8/2/16
7/29/16 02:00 	Columbia 	SC 	Flash 	10 seconds 	Flash appeared like a starburst. It was like a gateway opening and closing within seconds. 	8/2/16
7/29/16 01:00 	Marlborough 	MA 	Light 	2 hours 	Strange wobbly light in the sky moves around for two hours 	8/2/16
7/29/16 00:26 	Midlothian 	VA 	Circle 	2 minutes 	We saw a bright green ball of light last night moving steadily across the sky in a straight line. ((anonymous report)) 	8/2/16
7/28/16 23:00 	Canon City 	CO 	Triangle 	10 minutes 	After a series of lightning storms, about twenty minutes after the clouds cleared we saw what appeared to be a very bright and then pul 	8/2/16
7/28/16 22:00 	Centralia 	WA 	Light 	Hours 	They are still moving. Different directions. Coming from different ways. They look like moving stars. 	8/2/16
7/28/16 21:30 	Cambridge Springs 	PA 	Unknown 	3 minutes 	I tried to video the event with my phone and there is only audio as far as i can tell.I don`t understand this because it was so bright. 	8/2/16
7/28/16 17:55 	Milner (Canada) 	BC 	Light 	35 seconds 	Rolling rapid white light moved rapidly across the lawn. ((anonymous report)) 	8/2/16
7/28/16 16:50 	Poland 	ME 	Circle 	Seconds 	((HOAX??)) Blue ball shaped object buzzed through the sky. ((anonymous report)) 	8/2/16
7/28/16 15:00 	Demotte 	IN 	Light 	10 seconds 	Very bright eye-shaped bluish white light seen moving fast alongside a treetop line in broad daylight. 	8/16/16
7/28/16 09:00 	Phoenix 	AZ 	Other 	1 minute 	Faster than Mach 9.6 or almost 7,000 mph. WAY FASTER! 	8/16/16
7/28/16 08:45 	Beowawe 	NV 	Circle 	15 minutes 	7/26/16 nine lights 7/28-29 only 8 lights? 	8/2/16
7/28/16 06:18 	Aliso Viejo 	CA 	Triangle 	45 seconds 	Pacific Park to Aliso Creek saw three yellow, orange lights. In triangular formation the two lower lights jones the brighter,larger ape 	8/2/16
7/28/16 02:50 	Clackamas 	OR 	Fireball 	4-5 seconds 	Huge green low flying fireball. ((anonymous report)) ((NUFORC Note: Possible meteor?? PD)) 	8/2/16
7/28/16 01:35 	Buckeye 	AZ 	Changing 	5 minutes 	We saw a fuzzy orb of yellow/cream light that divided into two and back to one, giving the appearance of growing brighter and then disa 	8/2/16
7/28/16 01:00 	Oakridge 	OR 	Rectangle 	1 minute 	I seen a floating slab it was thinner than is was wider and longer. ((anonymous report)) 	8/2/16
7/28/16 01:00 	Yakima 	WA 	Unknown 	2-3 seconds 	Brilliant flash of light followed by a sonic boom 	8/2/16
7/28/16 00:00 	Howe 	OK 	Light 	2-4 seconds 	Big light in front of dark clouds; brighter than my flashlight 	8/2/16
7/28/16 00:00 	Virginia Beach 	VA 	Teardrop 	10 seconds 	The craft shaped like a tear drop flew over my car and stopped and took off. ((anonymous report)) 	8/2/16
7/27/16 23:15 	Hermiston 	OR 	Light 	5 minutes 	Light flying north the suddenly changes direction in a second. ((anonymous report)) 	8/2/16
7/27/16 23:00 	Kingman 	AZ 	Light 	2 minutes 	Slow moving orbs of light. 	8/2/16
7/27/16 23:00 	Wheaton 	IL 	Triangle 	1 second 	It was fast and silent. 	8/2/16
7/27/16 23:00 	St. George 	UT 	Unknown 	2 minutes 	Observed a lighted streamer like object flying or being towed over St George, UT. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 22:50 	Tooele 	UT 	Triangle 	5-10 minutes 	Bunch of super bright lights on base in long triangle; was gliding, with a humming sound. After 2-3 blocks, it disappeared! 	8/16/16
7/27/16 22:45 	Ogden 	UT 	Formation 	10 seconds 	Dragon-like wavy orange and red streaks seen in Ogden. ((NUFORC Note: Chinese rocket re-entry. PD)) 	8/2/16
7/27/16 22:45 	Salt Lake City 	UT 	Fireball 	2 minutes 	10 to 15 slow traveling fireballs that faded into darkness. ((NUFORC Note: Chinese rocket re-entry. PD)) 	8/2/16
7/27/16 22:45 	Heber 	UT 	Formation 	30 seconds 	Tight formation light streams in sky moving slow. ((NUFORC Note: Re-entering space debris. PD)) 	8/2/16
7/27/16 22:45 	South Jordan 	UT 	Chevron 	20 seconds 	Coordinated orange lights moving slowly W to E and fading out. ((NUFORC Note: Chinese rocket re-entry. PD)) 	8/2/16
7/27/16 22:45 	West Valley City 	UT 	Fireball 	45 seconds 	My husband and I were sitting on the front porch talking and I turned my head just to look up at the sky. At that moment a cluster of w 	8/2/16
7/27/16 22:45 	St. George 	UT 	Cigar 	1 minute 	A trail of burning light flew just above the southeastern horizon tonight. ((NUFORC Note: Chinese rocket re-entry. PD)) 	8/2/16
7/27/16 22:43 	Salt Lake City 	UT 	Changing 	40 seconds 	I saw two balls of whitish-yellow light in the southern sky of SLC, UT traveling W to E. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 22:41 	Sherman Oaks 	CA 	Fireball 	20 seconds 	Like a plane on fire with a long tail of read flames, white flames inside the red tail.((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 22:40 	Lindon 	UT 	Light 	1:20 seconds 	I was outside in my back yard when I noticed a light moving. ((NUFORC Note: Chinese rocket re-entry. PD)) 	8/2/16
7/27/16 22:40 	Salt Lake City 	UT 	Light 	1 minute 	Seen 10 to 15 lights looked like shooting stars but didnt go out looked like missiles. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 22:40 	Heber City Canyon 	UT 	Changing 	3-4 minutes 	10-12 beaming lights, followed by green circular light. ((NUFORC Note: Space debris re-entering atmosphere. PD)) 	8/2/16
7/27/16 22:40 	St. George 	UT 	Fireball 	5 minutes 	A/c speed object flying and then turns into a long fireball. ((NUFORC Note: Chinese rocket re-entry. PD)) 	8/2/16
7/27/16 22:39 	West Valley 	UT 	Circle 	2 minutes 	Anyone see the objects in the sky with the shiny light behind it? We were on the freeway headed W. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 22:38 	Buhl 	ID 	Rectangle 	30 minutes 	We saw a very large, long object with orangish lights on the bottom, moving over the tree tops. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 22:37 	Layton 	UT 	Fireball 	1 minute 	Slow moving meteorite or plane burning. ((NUFORC Note: Chinese rocket re-entry. PD)) 	8/2/16
7/27/16 22:35 	Sandy 	UT 	Triangle 	30 seconds 	we were outside watering lawn when lights appeared. ((NUFORC Note: Chinese rocket re-entry. PD)) 	8/2/16
7/27/16 22:35 	Centerville 	UT 	Unknown 	19 seconds 	~1035 pm I and my girlfriend observed blinking lights and lights not blinking moving slow. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 22:35 	West Valley City 	UT 	Fireball 	10-20 seconds 	Saw in south sky falling lights. Looked like a firework but was moving horiz. W to E. ((NUFORC Note: Chinese rocket re-entry. PD)) 	8/2/16
7/27/16 22:35 	Cedar Valley 	UT 	Changing 	15 minutes 	There was a very, large object which was multi-colored, low in the sky, ((NUFORC Note: Space debris re-entering atmosphere. PD)) 	8/2/16
7/27/16 22:30 	Mountain Home 	ID 	Formation 	2-4 minutes 	Two UFOs witnessed between Boise and Mountain Home. ((NUFORC Note: Chinese rocket re-entry. PD)) 	8/2/16
7/27/16 22:30 	Washington 	UT 	Unknown 	3 minutes 	I spend alot of time outside at night. Tonight i saw what started as two bright lights and two small blue lights then its broke up into 	8/2/16
7/27/16 22:30 	DeSmet 	ID 	Light 	45 seconds 	Moving star. ((NUFORC Note: Chinese rocket re-entry?? PD)) 	8/2/16
7/27/16 22:20 	Lincoln 	CA 	Circle 	5 minutes 	Orange orb traveling north/west. 	8/2/16
7/27/16 22:10 	New Milford 	CT 	Oval 	13 minutes 	We live in a farm. Was outside above house and barn about ten feet above barn hovered in silence and then moved approx 3 miles an hour 	8/2/16
7/27/16 22:00 	La Mesa 	CA 	Light 	15 seconds 	One flying light travels through sky fast then quickly descends, turns into 2 lights. ((NUFORC Note: Chinese rocket re-entry. PD)) 	8/2/16
7/27/16 22:00 	Santa Clarita 	CA 	Fireball 	30 seconds 	Patrons, at a park saw an object resembling a crashing, burning, plane, or rocket, or meteorite. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 22:00 	Modesto 	CA 	Light 	15 seconds 	Jet liked object flying, it looked like it was crashing or flying downward quickly leaving a trail of orange light. ((anonymous report) 	8/2/16
7/27/16 22:00 	Palmdale 	CA 	Fireball 	1 minute 	All 3 were flying across the sky downward, streaking across with what looked like sparks. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:50 	Tracy 	CA 	Fireball 	2 minutes 	Fireball Over Tracy, California. ((NUFORC Note: Reported to be re-entering Chinese rocket shell. PD)) 	8/2/16
7/27/16 21:50 	Mojave 	CA 	Fireball 	~90 seconds 	Huge meteor over Mojave. ((NUFORC Note: Chinese rocket re-entry. PD)) 	8/2/16
7/27/16 21:50 	Ventura 	CA 	Light 	1 minute 	A slow moving white trail moved across the sky. After about 20 seconds separated into 2.((NUFORC Note: Chinese rocket re-entry. PD)) 	8/2/16
7/27/16 21:50 	Beaumont 	CA 	Other 	59 seconds 	Long lines in the sky. ((anonymous report)) ((NUFORC Note: Space debris re-entering our atmosphere. PD)) 	8/2/16
7/27/16 21:45 	San Jose 	CA 	Fireball 	1 minute 	My friend and I saw a fireball moving across the sky. ((anonymous report)) ((NUFORC Note: Space debris? PD)) 	8/2/16
7/27/16 21:45 	Huntington Beach 	CA 	Other 	5 minutes 	Meteor-like light with trail stopped and emitted another light, then changed course. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:45 	Lake Hughes 	CA 	Fireball 	unknown 	"Missile test" my ((obscenity deleted)). 	8/2/16
7/27/16 21:45 	Mesquite 	NV 	Fireball 	2-3 minutes 	I think it was a meteor. ((NUFORC Note: Chinese rocket re-entry. PD)) 	8/2/16
7/27/16 21:45 	Modesto 	CA 	Cone 	30 seconds 	White, yellow, blue-colored fireball. Was coming from the ssw, heading towards the E.
((NUFORC Note: Chinese rocket re-entry. PD)) 	8/2/16
7/27/16 21:45 	Santa Ana 	CA 	Circle 	3 minutes 	This flaming ball was falling at an extremely fast speed from the sky. ((NUFORC Note: Chinese rocket re-entry. PD)) 	8/2/16
7/27/16 21:45 	Cumming 	GA 	Other 	1 minute 	Tumbling dot from west horizon to east, blinking as it reflected the sun. 	8/2/16
7/27/16 21:45 	Stockton 	CA 	Fireball 	1 minutes 	Ufo over stockton plane crash? Meteor? Drone? video disappeared on one camera. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:40 	Reno 	NV 	Fireball 	40 seconds+ 	Two large fireballs streak across the sky over Reno, NV. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:40 	Bakersfield 	CA 	Fireball 	2 minutes 	Large orange-red fireball appear in the NW sky and fall to the E of Bakersfield. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:40 	Phelan 	CA 	Fireball 	3 minutes 	I seen a strange looking object in the sky. ((NUFORC Note: Chinese rocket re-entry. PD)) 	8/2/16
7/27/16 21:40 	Ventura 	CA 	Fireball 	1 minute 	Fireballs flying over two trees. ((NUFORC Note: Chinese rocket re-entry. PD)) 	8/2/16
7/27/16 21:40 	Truckee 	CA 	Fireball 	15 seconds 	Sighted object(s) of two red-orange glowing balls with comet-like glowing tails. ((NUFORC Note: Chinese rocket re-entry. PD)) 	8/2/16
7/27/16 21:40 	San Jose 	CA 	
	40 seconds 	Long observation of a spectacular orange fireball with massively long trail. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:40 	Tracy 	CA 	Fireball 	15 seconds 	Slow-moving fireball moving E to W in the S sky. Yellowish in color and pulsing as it broke up. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:40 	Tonopah 	NV 	Fireball 	90 seconds 	Pinkish fireball that broke apart and changed color to a bluish on a smaller pc. 4 witnesses. 	8/2/16
7/27/16 21:39 	Reno 	NV 	Other 	10 seconds 	Looking south from Reno, object "floating," with long trail from west to east. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:39 	Reno 	NV 	Other 	10 seconds 	Bright, west to east flight over Reno airport, craft with &quot;tail&quot; of something not as bright as fire. 	8/2/16
7/27/16 21:38 	Anza 	CA 	Other 	10 seconds 	Two fiery objects heading from west to east, with a slow descent rate, vanished behind mountains. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:37 	Stockton 	CA 	Fireball 	2 minutes 	Slow moving, gradually descending bright white light with trail that broke up into 2 red objs. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:37 	Livermore 	CA 	Fireball 	30 seconds 	Saw a large ball of light traveling West to East in Livermore. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:36 	Mariposa County 	CA 	Sphere 	30 seconds 	Object was moving in the sky slowly...emitting a long tail, no sound. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:35 	Los Angeles 	CA 	Fireball 	30 seconds 	A fireball above the southern horizon seen from the district of El Sereno in northeast Los Angeles. 	8/2/16
7/27/16 21:35 	Sacramento 	CA 	Fireball 	2 minutes 	Fireball with trail similar to a comet seen navigating over roof tops of suburb of city. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:35 	Costa Mesa 	CA 	Fireball 	30 seconds 	Fireball for 30 seconds then disappeared. ((anonymous report))((NUFORC Note: Re-entering space debris. PD)) 	8/2/16
7/27/16 21:35 	Waterford 	CA 	Fireball 	1 minute 	I saw a slow moving object moving from West to east. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:35 	Huntington Beach 	CA 	Unknown 	10 seconds 	Bright light. ((anonymous report)) ((NUFORC Note: Re-entering space debris. PD))((anonymous report)) 	8/2/16
7/27/16 21:35 	Oakdale 	CA 	Rectangle 	90 seconds 	Like a airplane on fire then it kept going and when it passed out head it had like 6 lights. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:35 	Oxnard 	CA 	Teardrop 	1 	One tailing the other. Low in skyline. Then disappeared behind some trees. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:35 	Corona/Lake Mathews 	CA 	Fireball 	1 minute 	Saw 2 fireballs clear as day across the sky. Sort of looked like 2 planes were crashing. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:35 	Minden 	NV 	Fireball 	1 minute 	Two white-ish/yellow fireballs observed for a full minute or slighly more in western NV. 	8/2/16
7/27/16 21:35 	French Camp 	CA 	Fireball 	2 minutes 	Massive entry burnout of a ufo. Did not appear to make a landing. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:35 	Victorville 	CA 	Fireball 	1 minute 	UFO, fire, contrail. ((NUFORC Note: Reported to be re-entering Chinese rocket shell. PD)) 	8/2/16
7/27/16 21:35 	Chico 	CA 	Other 	1 minute 	golden ball with tail of sparks over sierra Nevada Mountains. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:35 	Frazier Park 	CA 	Fireball 	35 seconds 	A fireball in the sky that was moving slow and right above the mountains across the sky. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:35 	San Diego 	CA 	Light 	3 minutes 	Looking north from Point Loma in San Diego ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:35 	Incline Village 	NV 	Fireball 	2 minutes 	Bright yellow round object with orange and purple tail seen over North Lake Tahoe.object. ((NUFORC Note: Space debris. PD)) 	8/2/16
7/27/16 21:35 	Dublin 	CA 	Fireball 	1 minute 	To S, emerging just above the treeline, moving W to E, a white fireball similar to a jet engine. ((NUFORC Note: Space debris. PD) 	8/2/16
7/27/16 21:30 	Alpaugh 	CA 	Changing 	3-5 minutes 	I took pics . it changed from a round shape with many points to a round gas like appearance. ((NUFORC Note: Space debris. PD)) 	8/2/16
